sku_prefix,sku_suffix,lineitem_name
BEE-FK,pkt,"Beet, 'Feuer Kugel' - Pkt"
BEE-FK,1/2oz,
BEE-FK,1oz,"Beet, 'Feuer Kugel' - 1oz"
BEE-FK,1/4lb,"Beet, 'Feuer Kugel' - 1/4lb"
BEE-FK,1lb,"Beet, 'Feuer Kugel' - 1lb"
BEE-LU,pkt,"Beet, 'Lutz Green Leaf' - Pkt"
BEE-LU,1/2oz,
BEE-LU,1oz,"Beet, 'Lutz Green Leaf' - 1oz"
BEE-LU,1/4lb,"Beet, 'Lutz Green Leaf' - 1/4lb"
BEE-LU,1lb,"Beet, 'Lutz Green Leaf' - 1lb"
BEE-LU,5lb,"Beet, 'Lutz Green Leaf' - 5lb"
BEE-SH,pkt,"Beet, 'Shiraz Tall Top' - Pkt"
BEE-SH,1/2oz,
BEE-SH,1oz,"Beet, 'Shiraz Tall Top' - 1oz"
BEE-SH,1/4lb,"Beet, 'Shiraz Tall Top' - 1/4lb"
BEE-SH,1/2lb,
BEE-SH,1lb,"Beet, 'Shiraz Tall Top' - 1lb"
BEE-TG,pkt,"Beet, 'Touchstone Gold' - Pkt"
BEE-TG,1/2oz,
BEE-TG,1oz,"Beet, 'Touchstone Gold' - 1oz"
BEE-TG,1/4lb,"Beet, 'Touchstone Gold' - 1/4lb"
GRE-PC,pkt,"Bok Choi, 'Prize Choi' - Pkt"
GRE-PC,1/4oz,"Bok Choi, 'Prize Choi' - 1/4 oz"
GRE-PC,1oz,"Bok Choi, 'Prize Choi' - 1 oz"
BRO-UM,pkt,"Broccoli, 'Umpqua' - Pkt"
BRO-UM,1/4oz,"Broccoli, 'Umpqua' - 1/4 oz"
BRO-UM,1oz,"Broccoli, 'Umpqua' - 1 oz"
BRO-SO,pkt,"Broccoli, 'Solstice' - Pkt"
BRO-SO,1/4oz,"Broccoli, 'Solstice' - 1/4 oz"
BRO-SO,1oz,"Broccoli, 'Solstice' - 1 oz"
BRO-SO,1/4lb,"Broccoli, 'Solstice' - 1/4 lb"
BRO-SO,1lb,"Broccoli, 'Solstice' - 1 lb"
SMA-FC,pkt,"Broccoli, 'Broccolo Fiolaro di Creazzo' - Pkt"
SMA-FC,500s,"Broccoli, 'Broccolo Fiolaro di Creazzo' - 500 seeds"
SMA-FC,1Ms,"Broccoli, 'Broccolo Fiolaro di Creazzo' - 1000 seeds"
SMA-FC,5Ms,"Broccoli, 'Broccolo Fiolaro di Creazzo' - 5000 seeds"
BUR-TK,pkt,"Burdock, 'Takinogawa' - Pkt"
BUR-TK,1oz,"Burdock, 'Takinogawa' - 1 oz"
BUR-TK,1/4lb,"Burdock, 'Takinogawa' - 1/4 lb"
BUR-TK,1lb,"Burdock, 'Takinogawa' - 1 lb"
