SKU,QTY
BEA-TP-1/2lb,21
PEP-JN-100s,20
SMA-SA-500s,20
BEA-MX-1/2lb,20
CHA-RA-1oz,20
GRS-FE-500s,20
PEA-SS-1/2lb,20
ONI-NY-1/8oz,20
PEA-CA-1/2lb,20
PEP-SG-100s,20
CLB-BL-500s,20
CAR-YE-1/2oz,20
SMA-VM-500s,20
BEA-RL-1/2lb,20
BEA-RO-1/2lb,20
RUD-AS-500s,20
LET-EM-pkt,20
BEA-TE-1/2lb,20
SMA-VG-500s,20
SMA-ET-500s,20
SMA-YS-1Ms,20
SMA-DT-1Ms,20
GRE-WC-1/4oz,19
BEE-SH-1oz,19
CUC-SA-100s,19
SMA-VM-1Ms,19
TOM-JF-100s,19
TOM-BL-100s,19
TOM-MY-pkt,19
GRE-RU-1/4oz,19
CEL-SC-500s,19
BEE-TG-1oz,19
BEA-DR-1/2lb,18
CAB-FK-1/4oz,18
BEA-TP-1lb,18
BEA-DR-1lb,18
SMA-RM-500s,18
LAR-PB-1Ms,18
SMA-RR-1Ms,18
PEP-CZ-100s,18
BRO-SO-1/4oz,18
CAR-DR-1/2oz,18
STR-MF-500s,18
SUN-GA-1Ms,18
GRE-PC-1/4oz,18
ZIN-ZL-500s,18
COR-AB-1/4lb,18
SMA-SH-500s,18
PEA-SA-1/2lb,18
PEP-PM-250s,18
SMA-SH-1Ms,18
SMA-SG-1Ms,17
PEP-MP-100s,17
FOC-BE-pkt,17
SMA-MB-1Ms,17
PAR-SS-1/4oz,17
MGL-GO-200s,17
RUD-SH-500s,17
BEA-GR-1/2lb,16
AMA-EH-1/4oz,16
GRE-ES-1/8oz,16
BEA-HP-1/2lb,16
BEE-CR-1oz,16
LET-ER-1/4oz,16
SAL-TV-250s,16
BRO-UM-1/4oz,16
NIG-EX-1Ms,16
BAB-FB-1/4oz,16
HER-GK-1/2oz,16
ZUC-DS-1lb,16
BRO-NO-1oz,16
MAR-PI-250s,16
BEA-JG-1/2lb,16
TGC-DM-100s,16
BEA-HR-1/2lb,16
SUN-TA-100s,16
PUM-WL-1oz,15
SMA-GA-500s,15
NIG-BV-500s,15
CEL-MO-1Ms,15
VRB-PM-1Ms,15
LET-CR-pkt,15
LET-WD-pkt,15
GRE-AS-1/4lb,15
AST-HH-250s,15
NIG-DB-500s,15
SMA-SA-1Ms,15
PUM-LP-1oz,15
BEA-VE-pkt,15
PEA-MA-1lb,14
SMA-FC-1Ms,14
BEA-PR-1lb,14
SMA-LT-1Ms,14
CUC-SS-1/2oz,14
ONI-RM-1/2oz,14
CUC-SM-1/2oz,14
CHI-MA-500s,14
SMA-SE-500s,14
CAL-MX-1oz,14
SQU-FU-1oz,14
HER-TU-500s,13
SMA-MT-500s,13
RUD-PR-500s,13
SMA-GA-1Ms,13
PEP-PA-100s,13
SMA-PN-500s,13
POP-LP-1g,13
CHI-IS-1Ms,13
EGG-DI-250s,13
SNA-RB-1Ms,13
TOM-BC-100s,13
SQU-OD-1oz,13
PEP-SP-250s,13
PEP-TU-100s,13
BEA-SO-1/2lb,12
TOM-FI-250s,12
TOM-GS-100s,12
GAR-BK-1/2lb,12
AMA-OP-1/4oz,12
SCA-SB-250s,12
SQU-BF-1oz,12
SWP-JJ-100s,12
ONI-AC-1/2oz,12
PEP-BM-100s,12
MEL-CL-1/2oz,12
SCA-FB-100s,12
BEA-CA-1/2lb,12
COR-TU-1/2lb,12
SMA-PQ-500s,12
PEP-EE-250s,12
PEA-RV-1lb,12
SMA-FX-500s,12
PEP-HP-100s,12
LAR-WC-500s,12
BEA-IC-1/2lb,12
PEA-SR-1lb,12
BEA-PE-1/2lb,12
CAR-DR-1oz,12
SMA-BR-500s,12
CAR-SN-1oz,12
BEA-FL-1/2lb,12
