Lot,Date,Lbs,Notes
SWP-MR-LS23,2025-01-23,0,Saved 200 seeds for stock
TOM-PG-UO23,2025-01-28,0,no stock saved; have new lot
BEA-RL-UO22,2025-01-29,0,no stock saved; have new lot
SWP-RE-LS24,2025-01-29,0,saved 200 seeds per Brian
SWP-AB-LS24,2025-01-29,0,Stock saved
SQU-ZE-WO21,2025-01-30,0,saved 200 seeds for stock
HER-IL-UO22,2025-02-05,0,300 seeds saved for stock
SWP-PO-UO24,2025-02-18,0,Saved 400 seeds for stock per Brian
CAR-SN-TR21,2025-02-20,0,saved 1 oz stock seed per Brian
SMA-YS-SM25,2025-02-24,0,no stock saved
SWP-HS-FS23,2025-03-05,0,saved 400 seeds for stock per Brian
PEA-SA-FF21,2025-03-10,0,No stock saved
SMA-RS-SM24,2025-03-10,0,no stock seed saved
SMA-JO-SM24,2025-03-12,0,no stock seed saved
PEA-SS-UO22,2025-03-14,0,no stock seed saved per Brian
SMA-VG-SM24,2025-03-14,0,no stock seed saved
SMA-GA-SM25,2025-03-17,0,no stock seed saved
PEP-PM-UO21,2025-03-20,0,Saved 100 seeds for stock per Brian
KAL-DB-AV22,2025-04-02,0,No stock seed saved (per Brian)
HER-MA-UO24,2025-04-07,0,no stock saved
SWP-AP-LS23,2025-04-08,0,stock saved
SMA-FC-SM24,2025-04-08,0,no stock seed saved
BEA-PR-EO21,2025-04-11,0,No seed stock saved
TOM-AN-UO22,2025-04-14,0,No stock seed saved per Brian
BEA-BG-UO22,2025-04-21,0,No stock seed saved per Brian
BEA-JC-UO20,2025-04-22,0,~5 lb stock saved
PEP-JN-TR21,2025-04-23,0,250 seeds saved for stock
BUP-GG-UO22,2025-04-25,2.98,bad germ (14% for 2025)
COS-CH-UO23,2025-04-25,0.21,bad germ (50% for 2025)
COS-CH-UO21,2025-04-25,0.09,bad germ (60% for 2025)
SMA-BR-SM25,2025-06-13,0,
SMA-SA-SM25,2025-06-17,0,
